context_sentence,question
male farmer walking through cultivated wheat field and examining growth of the crops on windy day,How does the farmer examine the growth?
christmas wreath with natural decorations hanging on a rustic wooden wall with copy space,What season do people hang up Christmas wreaths?
christmas wreath with natural decorations hanging on a rustic wooden wall with copy space,What are the two primary colors of the Christmas wreath?
christmas wreath with natural decorations hanging on a rustic wooden wall with copy space,What types of natural decorations are on the wreath?
mare with foal on a pasture,When do the mare and foal get to go into the barn?
mare with foal on a pasture,Where is the pasture located?
mare with foal on a pasture,Where do horses usually stay that are owned by people?
tv journalist attends her wedding reception at american cuisine restaurant,What color is the journalist wearing at their wedding reception?
tv journalist attends her wedding reception at american cuisine restaurant,What does a tv journalist usually do?
tv journalist attends her wedding reception at american cuisine restaurant,What food does the restaurant service at the reception?
firefighters work to extinguish a fire at a home as they battle a wildfire,Why are the firefighters extinguishing the flames?
firefighters work to extinguish a fire at a home as they battle a wildfire,How does a person extinguish a fire?
a process in nature that occurs if an organism is better adapted to survive than another .,what is the name of the natural process that features better-adapted organisms outliving others
a process in nature that occurs if an organism is better adapted to survive than another .,What happens to the organism that is not as well suited?
strawberries in a stack drizzled with chocolate,What color are the strawberries?
strawberries in a stack drizzled with chocolate,Where do you usually find strawberries in a stack drizzled with chocolate?
a man wears boxing gloves and hits a heavy bag.,Where is the man wearing boxing gloves practicing?
a man wears boxing gloves and hits a heavy bag.,Why does the man wear gloves?
aerial view of an industrial port with a crane unloading cargo from a ship,Where is the port?
aerial view of an industrial port with a crane unloading cargo from a ship,What is displayed in the aircraft window?
"i went to drink a glass of beer down at the pub, but i couldn't find a clean shirt to wear.",Where do I find shirts?
"i went to drink a glass of beer down at the pub, but i couldn't find a clean shirt to wear.",Where do you usually find clean shirts in your home?
politician discusses the shooting during a meeting with top officials,Where did the meeting between the politician and the top officials happen?
politician discusses the shooting during a meeting with top officials,Which top officials were at the meeting?
politician discusses the shooting during a meeting with top officials,Where does a politician discuss shooting with top officials?
a smartphone connected to a charger with the screen showing the battery is charging,What is the charger connected to?
a smartphone connected to a charger with the screen showing the battery is charging,When does the phone get charged?
ships conduct a replenishment at sea,What do the ships refuel?
ships conduct a replenishment at sea,Why does a ship get replenished?
crowds gather to celebrate night and watch the burning of an effigy of soldier on a bonfire,What activities happen when crowds gather at night to celebrate?
crowds gather to celebrate night and watch the burning of an effigy of soldier on a bonfire,When did the soldier die?
a boy is throwing darts into a dartboard and goes and retrieves the missed darts.,Where is the boy?
business people clapping hands during the meeting in modern office,Why are the business people clapping their hands?
business people clapping hands during the meeting in modern office,What were the business people wearing?
stock illustrations of save the trees planet earth featuring,How do you save trees?
stock illustrations of save the trees planet earth featuring,What color are the trees?
stock illustrations of save the trees planet earth featuring,Where is planet earth?
my cat is obsessed with the printer so i send her messages during the day,Where is the printer?
my cat is obsessed with the printer so i send her messages during the day,why does she send messages to the printer
small rowboats and yachts moored in a calm marina,Where small rowboats and yachts moored
small rowboats and yachts moored in a calm marina,Where was the calm marina?
small rowboats and yachts moored in a calm marina,When do the yachts plan to go out to sea?
religious leader meets military commander on saturday .,When will the leaders meet?
religious leader meets military commander on saturday .,Where was the meeting taking place?
religious leader meets military commander on saturday .,Where did the religious leader meet the military commander?
police use pepper spray to keep protesters back outside a solidarity,What were the protestors protesting against?
police use pepper spray to keep protesters back outside a solidarity,When does the police usually deploy pepper spray? 
"he scribbles a chicago address on a piece of paper, folds it, and tucks it into her jumper.",What makes you scribble?
"he scribbles a chicago address on a piece of paper, folds it, and tucks it into her jumper.",Whose address did he scribble on a piece of paper?
"he scribbles a chicago address on a piece of paper, folds it, and tucks it into her jumper.",Where in her jumper does he tuck the piece of paper?
commuters travel into escalator during the evening rush hour .,Where does the escalator go?
commuters travel into escalator during the evening rush hour .,Where are the commuters going during rush hour?
