context_sentences,question
set of flat round icons with diagrams on the gray background vector,Where are the icons?
"let's decorate the tree, we can put some music on in the background.",Which type of music can be used while decorating the tree?
illustration of an isolated guitar pick with a rocket,Where is the guitar pick?
the soldier teaches the student how to treat wounds.,What does the soldier use on the wound?
actor poses for photos at the event honoring comedian,Why does the actor pose for photos?
"vegetables are being cooked in a pan over a stove with a black top,",Who is cooking the vegetables in a pan?
sailors assigned man the rails as the ship passes person,Why is the ship passing the person?
set of flat round icons with diagrams on the gray background vector,What are the icons used for?
"after you ride the horse, you must hit the ball at least 100 yards.",What is used to hit the ball?
"after you ride the horse, you must hit the ball at least 100 yards.",How do you hit the ball?
armed force conduct a foot patrol during training,Why do armed forces go for training?
a group of middle-aged people with laptops and notebooks are paying attention to something.,What can be done with the notebooks of the group's components?
politician announced his bid for the nomination .,Where did the politician announce his bid?
actor in a classic black gown with a sparkling cuff,When does a person wear a classic black gown?
the dog went on a walk and kept putting the snow in his mouth.,Why do dogs put snow in their mouth?
a woman applies a lotion by tapping and rubbing her face.,Why does a woman usually apply a lotion?
"furrowing her brow, someone looks around at the other people in the boat who avert their gaze.",Why does she furrow her brow?
illustration of an isolated guitar pick with a rocket,Where is the rocket?
actor poses for photos at the event honoring comedian,Who is taking the pictures?
a group of middle-aged people with laptops and notebooks are paying attention to something.,Where is the group of middle-aged people sitting?
a gymnast slips on a cube of ice as he attempts to stand on the mat causing him to break his foot.,Why was the ice on the mat?
armed force conduct a foot patrol during training,Where is the foot patrol being conducted?
two men working on a machine wearing hard hats.,Why do the men wear hard hats?
actor in couture at the premiere .,Where was the premiere held?
fashion model donned ensembles on the runway at show including this ethereal creation .,Why does the model usually don ensemble?
"vegetables are being cooked in a pan over a stove with a black top,",Why are the vegetables being cooked?
a guy is seasoning some tomatoes to make a salad.,Why is the guy making a salad?
the boy keep calm breathes the air and kick the ball with his foot to make the goal,Where is the boy playing?
taking architectural cues from the existing structure will leave you with a more cohesive design .,Why do people want a cohesive design?
biological species took some photos of the owl preening his feathers .,Why is the owl preening?
the dog went on a walk and kept putting the snow in his mouth.,Where does the dog usually go for a walk?
a woman applies a lotion by tapping and rubbing her face.,What types of lotion are usually applied to the face?
"let's decorate the tree, we can put some music on in the background.",What makes tree decoration genuine?
biological species took some photos of the owl preening his feathers .,Where is the owl sitting?
armed force conduct a foot patrol during training,Why does the armed force have weapons?
the dentist told the patient to lie on his back and stick out his tongue,Why has the person come to the dentist?
sailors assigned man the rails as the ship passes person,What do sailors usually do?
activists take part in a protest calling for the release of the journalist,Who has detained the journalist?
the dog pulled at the leash when it ran.,Why does a dog usually run?
"people who ride motorcycles should wear helmets while riding on their bike, even if they are only sitting on the back.",How come people wear a helmet?
woman is unscrewing the handles to adjust the resistance.,Why do women usually adjust resistance?
